agreeableness,extraversion,neuroticism,education,age
5.6,4.0,2.0,5,68
5.2,3.6,1.2,5,42
4.4,3.6,4.6,5,47
4.4,3.6,4.0,5,43
4.2,2.8,2.4,1,53
5.0,4.6,1.4,5,41
3.0,3.8,2.0,5,48
3.8,3.4,2.8,4,55
5.6,3.4,3.2,2,48
5.6,3.8,4.0,2,56
4.0,4.0,3.0,2,49
5.2,6.0,3.8,2,45
5.2,2.6,2.2,4,48
4.4,5.2,4.0,2,51
4.4,4.8,1.6,3,43
4.8,4.6,3.0,4,45
5.6,5.8,1.2,2,60
4.8,4.4,2.4,3,60
3.2,2.8,5.2,4,42
4.8,4.2,1.6,3,44
5.4,5.6,1.0,3,46
5.0,4.8,3.4,NA,45
5.4,4.0,1.8,3,52
5.6,4.0,4.0,3,46
3.2,2.4,4.2,5,50
4.6,2.2,3.2,2,51
5.2,5.6,1.5,3,41
4.8,3.2,4.2,2,42
2.6,3.6,2.0,5,74
2.4,5.8,2.0,4,48
4.2,3.0,5.2,2,48
5.4,4.4,2.8,4,41
5.4,4.8,4.0,5,54
4.4,3.6,4.2,5,51
4.8,4.2,2.0,5,56
2.0,2.6,2.6,5,52
4.8,4.6,3.0,5,47
4.0,2.8,3.6,2,49
5.6,4.8,2.0,3,53
4.2,3.6,1.0,5,56
4.0,2.8,1.4,4,46
5.75,5.6,4.2,2,62
5.75,5.8,1.2,2,50
5.4,4.2,4.8,5,46
3.8,4.4,3.6,5,58
5.0,4.2,2.4,2,45
5.0,4.4,1.4,2,43
5.4,5.0,2.4,5,45
3.6,3.2,4.0,2,61
5.0,4.0,2.2,5,60
3.8,5.0,4.8,2,43
5.2,4.2,1.6,4,50
4.0,2.6,3.6,5,67
5.4,3.8,2.4,1,43
4.2,3.8,3.8,3,56
5.0,3.8,1.0,NA,51
2.6,3.4,2.6,4,43
6.0,4.0,1.0,4,55
5.8,5.8,4.0,NA,55
3.4,3.6,2.2,4,41
6.0,5.8,1.6,5,56
4.2,3.2,1.0,5,67
3.8,5.2,1.0,5,63
3.6,3.0,4.2,4,46
4.2,4.8,3.2,1,49
4.8,2.2,5.2,4,67
3.8,1.4,2.6,4,54
4.0,2.8,1.0,4,42
4.0,2.4,5.2,5,42
4.4,3.4,2.8,3,50
4.4,4.4,2.4,4,46
6.0,6.0,1.0,5,53
5.2,4.2,2.2,4,70
4.6,3.8,2.2,5,43
5.2,4.4,1.6,3,56
3.2,4.4,2.6,4,54
3.0,3.0,1.0,1,44
5.4,5.8,1.4,3,42
4.4,3.8,4.2,4,44
4.0,4.0,3.0,4,45
5.2,2.8,4.4,5,54
3.8,2.2,4.5,3,51
4.6,3.2,2.2,1,51
5.8,5.4,1.8,3,52
5.666666666666667,3.8,1.4,1,42
4.6,2.8,3.0,4,45
3.8,1.6,1.6,2,47
4.6,6.0,1.2,4,55
4.0,2.6,3.4,1,46
6.0,4.2,4.8,2,58
3.6,1.6,1.8,3,58
4.8,5.6,3.8,3,51
5.2,4.2,3.0,2,48
4.0,2.8,4.8,5,51
5.4,4.6,2.4,5,58
4.0,4.4,3.0,2,52
6.0,5.0,4.4,4,56
3.8,3.0,3.6,3,42
4.8,5.0,2.2,5,41
5.2,3.2,5.2,4,52
3.8,4.4,2.6,4,48
4.8,3.4,3.2,3,43
5.4,4.0,3.4,5,58
3.2,2.5,2.8,4,51
4.2,4.4,3.8,3,42
1.8,1.4,2.4,2,48
3.8,1.2,5.4,4,50
3.6,4.0,4.4,2,65
4.6,1.2,2.6,4,43
5.2,4.0,1.2,4,55
5.2,3.8,2.6,1,49
4.0,4.6,4.6,NA,41
4.8,4.25,3.0,NA,52
4.4,3.4,5.0,3,44
5.2,4.0,4.0,5,44
5.4,5.8,2.0,4,46
5.6,5.4,2.6,5,45
4.2,2.4,4.0,5,46
5.0,4.8,2.2,5,43
5.25,5.6,2.8,5,57
4.8,4.2,1.0,2,54
3.8,3.2,4.0,1,43
3.8,2.8,4.0,5,43
4.75,5.0,3.6,2,43
5.0,1.0,3.0,4,47
